City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
42,Vaini,TO,-21.2,-175.2,73.56,88,75,12.66,broken clouds
43,Olinda,BR,-8.0089,-34.8553,80.33,74,40,6.91,scattered clouds
44,Clyde River,CA,70.4692,-68.5914,34.68,78,90,7.49,overcast clouds
45,Bengkulu,ID,-3.8004,102.2655,74.37,92,99,14.27,moderate rain
46,Invermere,CA,50.5167,-116.0354,30.63,92,100,3,overcast clouds
47,Qaanaaq,GL,77.484,-69.3632,29.03,92,100,9.64,overcast clouds
48,Cidreira,BR,-30.1811,-50.2056,64.53,82,87,21.23,overcast clouds
49,Lompoc,US,34.6391,-120.4579,61.11,86,90,9.22,mist
50,Mar Del Plata,AR,-38.0023,-57.5575,58.08,60,0,5.99,clear sky
51,Ponta Do Sol,PT,32.6667,-17.1,71.01,74,32,4.18,scattered clouds
52,Bambous Virieux,MU,-20.3428,57.7575,73.65,94,75,12.66,moderate rain
53,Meulaboh,ID,4.1363,96.1285,84.22,66,100,2.01,overcast clouds
54,Barrow,US,71.2906,-156.7887,26.62,80,90,8.05,mist
55,Kamloops,CA,50.6665,-120.3192,39.74,87,40,3,scattered clouds
56,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,87,100,11.95,overcast clouds
57,Cape Town,ZA,-33.9258,18.4232,62.11,87,0,4.61,clear sky
58,Ketchikan,US,55.3422,-131.6461,46.38,93,75,3.44,broken clouds
59,Tiksi,RU,71.6872,128.8694,29.7,93,100,7.38,overcast clouds
60,Pevek,RU,69.7008,170.3133,23.92,91,100,3.85,overcast clouds
61,East London,ZA,-33.0153,27.9116,58.14,72,0,14.97,clear sky
62,Salalah,OM,17.0151,54.0924,78.89,78,40,3.44,scattered clouds
63,Berlin,DE,52.5244,13.4105,45.36,80,0,3,clear sky
64,Tacarigua,VE,10.0862,-67.9198,71.71,94,47,1.5,scattered clouds
65,Hobyo,SO,5.3505,48.5268,80.04,81,76,13.89,broken clouds
66,Arraial Do Cabo,BR,-22.9661,-42.0278,66.92,90,100,19.15,light rain
67,Bathsheba,BB,13.2167,-59.5167,83.01,78,75,14.97,broken clouds
68,Iqaluit,CA,63.7506,-68.5145,28.13,93,1,4.61,clear sky
69,Severo-Kurilsk,RU,50.6789,156.125,49.59,92,100,23.67,light rain
70,Thompson,CA,55.7435,-97.8558,37.56,100,1,4.61,clear sky
71,New Norfolk,AU,-42.7826,147.0587,56.66,44,96,4,overcast clouds
72,Kendari,ID,-3.945,122.4989,88.3,58,100,4.12,overcast clouds
73,Nakhon Thai,TH,17.1006,100.8374,84.11,86,77,3.36,broken clouds
74,Yulara,AU,-25.2406,130.9889,69.64,46,40,11.5,scattered clouds
75,Kudahuvadhoo,MV,2.6708,72.8944,83.32,74,55,15.88,broken clouds
76,Hilo,US,19.7297,-155.09,73.13,91,90,3.44,light rain
77,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,93,90,8.05,light snow
78,Ahuimanu,US,21.4447,-157.8378,82.11,66,20,14.97,few clouds
79,Jamestown,US,42.097,-79.2353,64.09,88,90,8.99,overcast clouds
80,Tautira,PF,-17.7333,-149.15,80.62,75,72,10.65,broken clouds
81,Bom Jesus,BR,-9.0744,-44.3586,76.41,40,99,3.56,overcast clouds
82,Nome,US,64.5011,-165.4064,33.87,75,1,10.36,clear sky
83,Antofagasta,CL,-23.65,-70.4,58.28,69,5,5.44,clear sky
84,Punta Arenas,CL,-53.15,-70.9167,44.71,57,40,26.46,scattered clouds
85,Chokurdakh,RU,70.6333,147.9167,21.76,86,100,6.69,overcast clouds
86,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.79,100,90,8.05,overcast clouds
87,Nyurba,RU,63.2842,118.3319,35.33,57,71,13.78,broken clouds
88,Kavieng,PG,-2.5744,150.7967,84.81,67,10,5.86,clear sky
89,Nacala,MZ,-14.5428,40.6728,72.97,86,51,6.55,broken clouds
90,Puerto Ayacucho,VE,5.6639,-67.6236,75.72,91,97,3.27,overcast clouds
91,Marang,MY,5.2056,103.2059,89.51,66,61,3.76,broken clouds
92,Alta Floresta,BR,-9.8756,-56.0861,73.81,80,87,2.17,overcast clouds
93,Moerai,PF,-22.4333,-151.3333,74.17,74,88,14.76,overcast clouds
94,Lebu,CL,-37.6167,-73.65,48.67,89,8,13.62,clear sky
95,Sao Filipe,CV,14.8961,-24.4956,79.75,73,0,9.55,clear sky
96,Luderitz,NA,-26.6481,15.1594,69.69,34,0,5.41,clear sky
97,San Rafael Del Sur,NI,11.8485,-86.4384,76.17,88,100,4.45,overcast clouds
98,Saint George,US,37.1041,-113.5841,63.36,51,1,4,clear sky
99,Deputatskiy,RU,69.3,139.9,24.17,78,100,3.87,overcast clouds
100,Tilichiki,RU,60.4667,166.1,32.41,54,6,2.59,clear sky
101,Biltine,TD,14.5333,20.9167,82,17,16,6.22,few clouds
102,Bluff,NZ,-46.6,168.3333,47.8,81,100,12.88,overcast clouds
103,Yakeshi,CN,49.2833,120.7333,50.23,48,0,12.8,clear sky
104,Tual,ID,-5.6667,132.75,83.37,72,100,3.42,overcast clouds
105,Souillac,MU,-20.5167,57.5167,73.78,94,75,12.66,moderate rain
106,Sana,YE,15.3547,44.2067,62.64,40,95,8.21,overcast clouds
107,Payo,ID,-3.7508,103.6372,89.42,55,100,3.56,overcast clouds
108,Victoria,HK,22.2855,114.1577,89.65,73,51,8.99,broken clouds
109,Raga,SS,8.4596,25.678,70.99,88,99,3.91,overcast clouds
110,Vao,NC,-22.6667,167.4833,70.77,65,3,13.89,clear sky
111,Butaritari,KI,3.0707,172.7902,82.17,66,44,9.51,scattered clouds
112,Kavaratti,IN,10.5669,72.642,82.45,80,100,15.59,moderate rain
113,Malindi,KE,-3.2175,40.1191,80.76,74,40,6.91,scattered clouds
114,Hithadhoo,MV,-0.6,73.0833,83.16,69,94,13.58,overcast clouds
115,Constitucion,CL,-35.3333,-72.4167,52.36,84,0,7.63,clear sky
116,Broken Hill,AU,-31.95,141.4333,60.51,29,40,10.36,scattered clouds
117,Barauna,BR,-5.08,-37.6167,74.86,82,10,7.81,clear sky
118,Komsomolskiy,UZ,40.4272,71.7189,53.02,76,0,4.61,clear sky
119,Faanui,PF,-16.4833,-151.75,80.04,75,99,13.76,light rain
120,Fortuna,US,40.5982,-124.1573,53.94,66,1,3,clear sky
121,Dunedin,NZ,-45.8742,170.5036,50.81,87,100,14,moderate rain
122,Suntar,RU,62.1444,117.6319,36.55,63,97,11.59,overcast clouds
123,Goderich,CA,43.7501,-81.7165,68.32,73,98,13.8,overcast clouds
124,Bilibino,RU,68.0546,166.4372,3.56,96,33,3.06,scattered clouds
125,Bend,US,44.0582,-121.3153,40.82,72,1,3,clear sky
126,Mahebourg,MU,-20.4081,57.7,73.69,94,75,12.66,moderate rain
127,Nargana,PA,9.4428,-78.5906,79.36,85,87,5.32,overcast clouds
128,Olafsvik,IS,64.8945,-23.7142,39.97,65,34,4.59,scattered clouds
129,Vostok,RU,46.4856,135.8833,46.44,53,30,15.59,scattered clouds
130,Synya,RU,65.3718,58.0387,30,95,100,7.43,light snow
131,Oistins,BB,13.0667,-59.5333,82.49,78,75,14.97,broken clouds
132,Maxixe,MZ,-23.8597,35.3472,69.62,83,75,11.5,broken clouds
133,Cabo San Lucas,MX,22.8909,-109.9124,85.51,81,40,5.75,scattered clouds
134,Upernavik,GL,72.7868,-56.1549,33.84,94,100,16.67,light rain
135,Portales,US,34.1862,-103.3344,48.09,87,7,1.01,clear sky
136,Tura,IN,25.5198,90.2201,85.68,63,45,2.26,scattered clouds
137,Nikolskoye,RU,59.7035,30.7861,46.8,72,44,8.16,scattered clouds
138,Buala,SB,-8.145,159.5921,82.69,77,92,4.65,overcast clouds
139,Mvuma,ZW,-19.2792,30.5283,51.19,84,100,13.58,overcast clouds
140,Portland,US,45.5234,-122.6762,48.78,87,40,4,scattered clouds
141,Pitimbu,BR,-7.4706,-34.8086,75.79,77,10,8.75,clear sky
142,Sitka,US,57.0531,-135.33,48.09,81,75,0,broken clouds
143,Mount Isa,AU,-20.7333,139.5,74.97,73,75,8.05,broken clouds
144,Araouane,ML,18.9048,-3.5265,84.06,11,52,5.73,broken clouds
145,San Policarpo,PH,12.1791,125.5072,87.82,68,62,14.45,broken clouds
146,Jacksonville,US,30.3322,-81.6556,75.2,85,1,10.36,mist
147,Mehamn,NO,71.0357,27.8492,42.98,93,0,10.36,clear sky
148,Hare Bay,CA,48.8499,-54.0148,38.55,92,5,7.11,clear sky
149,Cuenca,EC,-2.8833,-78.9833,51.93,100,81,3.44,broken clouds
150,Rafaela,AR,-31.2503,-61.4867,59.99,79,96,1.99,overcast clouds
151,Puteyets,RU,65.1716,57.091,31.1,94,100,10.09,light snow
152,Kaeo,NZ,-35.1,173.7833,63.32,66,95,10.54,light rain
153,Calbuco,CL,-41.768,-73.1273,51.01,84,68,4.32,broken clouds
154,Diffa,NE,13.3154,12.6113,82.47,20,100,5.59,overcast clouds
155,Rodino,RU,52.5,80.25,45.9,69,100,4.32,overcast clouds
156,Spornoye,RU,50.8448,37.2913,39.22,61,100,6.38,overcast clouds
157,Saldanha,ZA,-33.0117,17.9442,55.45,47,71,7.18,broken clouds
158,Champerico,GT,14.3,-91.9167,82.35,81,100,6.64,overcast clouds
159,Greymouth,NZ,-42.4667,171.2,51.33,94,100,14.29,overcast clouds
160,Vigrestad,NO,58.5667,5.7,49.68,76,39,23.64,scattered clouds
161,Slave Lake,CA,55.2834,-114.769,37.38,87,90,9.22,overcast clouds
162,Vestmanna,FO,62.1564,-7.1664,43.72,100,75,9.22,broken clouds
163,Richards Bay,ZA,-28.783,32.0377,59.58,67,32,2.04,scattered clouds
164,Cookeville,US,36.1628,-85.5016,68.79,95,1,4.61,clear sky
165,Juliaca,PE,-15.5,-70.1333,50.31,61,100,4.12,overcast clouds
166,Pakxan,LA,18.3778,103.6601,74.89,97,100,3.42,overcast clouds
167,Kumba,CM,4.6363,9.4469,70.66,96,92,1.79,overcast clouds
168,Tchibanga,GA,-2.85,11.0333,70.92,93,100,1.79,overcast clouds
169,Kruisfontein,ZA,-34.0033,24.7314,55.08,59,77,7.18,broken clouds
170,Gawler,AU,-34.6,138.7333,65.25,41,3,7.96,clear sky
171,Tasiilaq,GL,65.6145,-37.6368,32.16,52,14,4.09,few clouds
172,San Cristobal,VE,7.7669,-72.225,66.38,98,100,1.21,overcast clouds
173,Grand Gaube,MU,-20.0064,57.6608,73.8,92,100,5.99,heavy intensity rain
174,Lavrentiya,RU,65.5833,-171,29.68,83,100,6.24,overcast clouds
175,Alice Springs,AU,-23.7,133.8833,62.15,67,90,6.91,overcast clouds
176,Boden,SE,65.8252,21.6886,48.2,91,100,8.43,overcast clouds
177,Karema,TZ,-6.8205,30.4389,78.15,43,100,9.55,overcast clouds
178,Qaqortoq,GL,60.7167,-46.0333,28.9,50,14,0.74,few clouds
179,Korla,CN,41.7597,86.1469,52.48,31,100,2.73,overcast clouds
180,Namibe,AO,-15.1961,12.1522,66.09,96,40,2.35,scattered clouds
181,Atuona,PF,-9.8,-139.0333,78.55,73,14,18.01,few clouds
182,Touros,BR,-5.1989,-35.4608,77.9,76,5,10.25,clear sky
183,Ngunguru,NZ,-35.6167,174.5,63.16,60,85,8.61,light rain
184,Kidal,ML,18.4411,1.4078,81.28,11,33,8.88,scattered clouds
185,Ossora,RU,59.2353,163.0719,36.7,76,33,10.51,scattered clouds
186,Laguna,US,38.421,-121.4238,69.46,48,1,1.01,clear sky
187,Port Alfred,ZA,-33.5906,26.891,56.64,75,35,13.31,scattered clouds
188,Sabang,ID,5.8933,95.3214,82.87,75,71,22.62,broken clouds
189,Formosa,AR,-26.1775,-58.1781,69.78,94,0,6.91,clear sky
190,Luanda,AO,-8.8368,13.2343,73.4,83,75,3.44,broken clouds
191,Terrace,CA,54.5163,-128.6035,45.43,93,90,9.22,light rain
192,Guerrero Negro,MX,27.9769,-114.0611,70.54,71,0,14.72,clear sky
193,Ambon,ID,-3.6954,128.1814,86.14,84,40,6.91,scattered clouds
194,Saskylakh,RU,71.9167,114.0833,24.46,96,100,9.22,light snow
195,Coro,VE,11.4045,-69.6734,78.58,87,61,7.74,broken clouds
196,Lazaro Cardenas,MX,17.9583,-102.2,78.89,87,42,4.34,scattered clouds
197,Oranjemund,NA,-28.55,16.4333,73.26,22,1,9.28,clear sky
198,Vizinga,RU,61.0749,50.1031,46.35,93,100,10.36,overcast clouds
199,Bac Ninh,VN,21.1833,106.05,73.49,89,100,16.28,moderate rain
200,Ballina,AU,-28.8667,153.5667,73.58,88,90,11.5,light rain
201,Krutinka,RU,56.0055,71.5113,33.31,62,13,5.46,few clouds
202,Zholymbet,KZ,51.7433,71.7122,35.62,68,100,13.87,overcast clouds
203,Kieta,PG,-6.2167,155.6333,84.27,70,98,5.95,light rain
204,Camana,PE,-16.6228,-72.7111,63.77,85,36,9.37,scattered clouds
205,Sioux Lookout,CA,50.1001,-91.917,55.78,94,90,2.3,mist
206,Senador Guiomard,BR,-10.1522,-67.7392,78.55,63,58,3.06,broken clouds
207,Omboue,GA,-1.5746,9.2618,76.26,86,100,2.91,overcast clouds
208,Tomatlan,MX,19.9333,-105.25,76.68,92,84,3.74,broken clouds
209,Inhambane,MZ,-23.865,35.3833,69.78,83,75,11.5,broken clouds
210,Santa Rosalia,MX,27.3167,-112.2833,75.34,40,0,5.23,clear sky
211,La Cruz,MX,23.9167,-106.9,80.89,84,27,3,scattered clouds
212,Petauke,ZM,-14.2426,31.3253,62.6,73,5,12.95,clear sky
213,Krasne,UA,49.9145,24.6134,41.29,48,97,6.51,overcast clouds
214,Zhumadian,CN,32.9794,114.0294,60.06,40,100,13.47,overcast clouds
215,Aleksandrov Gay,RU,50.147,48.5704,46.04,50,2,4.5,clear sky
216,Coquimbo,CL,-29.9533,-71.3436,53.33,66,0,3.44,clear sky
217,Clarence Town,AU,-32.5833,151.7833,58.95,91,100,6.08,moderate rain
218,Vanimo,PG,-2.6741,141.3028,84.38,77,75,4.09,broken clouds
219,Roald,NO,62.5833,6.1333,47.34,87,75,19.57,broken clouds
220,Pangnirtung,CA,66.1451,-65.7125,28.4,100,1,2.3,clear sky
221,Parabel,RU,58.6978,81.4825,32.45,57,7,6.85,clear sky
222,Glendive,US,47.1053,-104.7125,54.18,65,1,8.05,clear sky
223,Oussouye,SN,12.485,-16.5469,78.98,84,98,4.34,overcast clouds
224,Novichikha,RU,52.204,81.3877,46.9,52,100,6.06,overcast clouds
225,Vilyuysk,RU,63.7553,121.6247,33.62,69,100,13.2,overcast clouds
226,Carnarvon,AU,-24.8667,113.6333,71.67,64,0,19.57,clear sky
227,Redmond,US,47.674,-122.1215,49.96,89,92,1.99,overcast clouds
228,Salaga,GH,8.5508,-0.5188,74.57,93,100,4.92,overcast clouds
229,Poddorye,RU,57.4695,31.1156,35.89,92,14,6.08,few clouds
230,Khani,GE,41.9563,42.9566,51.37,71,7,4.79,clear sky
231,Price,US,39.5994,-110.8107,48.11,70,1,6.91,clear sky
232,Creel,MX,27.75,-107.6333,49.8,88,0,3.38,clear sky
233,Avarua,CK,-21.2078,-159.775,75.25,83,100,14.97,overcast clouds
234,Ancud,CL,-41.8697,-73.8203,49.42,86,100,3.76,overcast clouds
235,Codrington,AU,-38.2667,141.9667,54.34,56,37,11.77,scattered clouds
236,Sampit,ID,-2.5333,112.95,90.45,56,93,4.38,overcast clouds
237,Dikson,RU,73.5069,80.5464,28.96,65,100,17.67,overcast clouds
238,Liverpool,GB,53.4106,-2.9779,55.35,82,75,1.99,broken clouds
239,Kaitangata,NZ,-46.2817,169.8464,45.57,95,100,7.83,light rain
240,Chivay,PE,-15.6383,-71.6011,50.74,75,98,5.01,overcast clouds
241,Vardo,NO,70.3705,31.1107,43,91,100,11.81,overcast clouds
242,Marsa Matruh,EG,31.3525,27.2453,64.6,88,0,3.44,clear sky
243,Madang,PG,-5.2246,145.7966,85.64,65,65,9.06,broken clouds
244,Wiarton,CA,44.7407,-81.1332,68.97,73,90,19.57,overcast clouds
245,Saquena,PE,-4.6667,-73.5167,74.14,96,52,0.98,broken clouds
246,Velasco Ibarra,EC,-1.05,-79.6167,75.06,74,99,4,overcast clouds
247,Ulladulla,AU,-35.35,150.4667,61.77,54,97,10.4,overcast clouds
248,Buraydah,SA,26.326,43.975,72.05,16,0,6.4,clear sky
249,Sanchor,IN,24.7553,71.7722,86.83,56,0,6.67,clear sky
250,Quesnel,CA,52.9999,-122.5029,37.9,93,90,3.44,overcast clouds
251,San Quintin,MX,30.4833,-115.95,65.79,82,0,9.01,clear sky
252,Torbay,CA,47.6666,-52.7314,43.27,89,90,16.11,overcast clouds
253,Rabaul,PG,-4.1967,152.1721,84.04,69,32,8.81,scattered clouds
254,Dalvik,IS,65.9702,-18.5286,33.73,92,81,3.29,broken clouds
255,Saint-Augustin,CA,51.226,-58.6502,48.83,82,20,4.85,few clouds
256,Bose,IT,45.4612,8.0137,51.73,78,0,4.07,clear sky
257,Eirunepe,BR,-6.6603,-69.8736,77.85,73,38,1.36,scattered clouds
258,Hofn,IS,64.2539,-15.2082,38.89,65,0,10.33,clear sky
259,Port-De-Bouc,FR,43.4,4.9833,56.44,76,0,10.36,clear sky
260,Bamberg,DE,49.8795,10.8863,36.93,88,5,1.74,clear sky
261,La Ronge,CA,55.1001,-105.2842,35.85,93,1,2.3,clear sky
262,Hasaki,JP,35.7333,140.8333,86.29,70,1,19.15,clear sky
263,Kahului,US,20.8947,-156.47,77.85,87,75,19.57,broken clouds
264,Vryburg,ZA,-26.9566,24.7284,57.87,65,1,10.89,clear sky
265,Livingston,GB,55.9029,-3.5226,49.86,90,0,6.91,clear sky
266,Manoel Urbano,BR,-8.8389,-69.2597,77.94,72,48,1.01,scattered clouds
267,Tondano,ID,1.3038,124.9112,86.09,61,98,6.2,overcast clouds
268,Norman Wells,CA,65.282,-126.8329,26.64,93,75,4.61,broken clouds
269,Port Blair,IN,11.6667,92.75,83.03,81,100,18.23,overcast clouds
270,Serebryanyy Bor,RU,56.8,124.8,36.88,51,29,8.12,scattered clouds
271,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,68,0,9.22,clear sky
272,Srednekolymsk,RU,67.45,153.6833,24.1,76,21,3.89,few clouds
273,Lagos,NG,6.5833,3.75,79.12,95,99,2.98,overcast clouds
274,Port Lincoln,AU,-34.7333,135.8667,56.77,49,4,11.23,clear sky
275,Vaitape,PF,-16.5167,-151.75,80.02,75,98,13.78,light rain
276,Paramonga,PE,-10.6667,-77.8333,62.96,92,43,6.51,scattered clouds
277,Christchurch,NZ,-43.5333,172.6333,63.32,59,100,11.5,overcast clouds
278,Georgetown,MY,5.4112,100.3354,91.33,65,20,1.01,few clouds
279,Port Shepstone,ZA,-30.7414,30.455,59.32,76,3,14.05,clear sky
280,Tocopilla,CL,-22.092,-70.1979,61.95,72,3,2.17,clear sky
281,Muroto,JP,33.2833,134.15,71.64,77,53,8.1,light rain
282,Matara,LK,5.9485,80.5353,82.9,80,92,13.42,overcast clouds
283,Tete,MZ,-16.1564,33.5867,72.81,70,48,12.26,scattered clouds
284,Paamiut,GL,61.994,-49.6678,37.44,70,100,12.35,overcast clouds
285,Nelson Bay,AU,-32.7167,152.15,59.09,87,100,1.01,light rain
286,Necochea,AR,-38.5473,-58.7368,53.04,94,7,10.89,clear sky
287,Atar,MR,20.5169,-13.0499,81.55,21,0,5.5,clear sky
288,Caravelas,BR,-17.7125,-39.2481,72.21,94,99,4.85,overcast clouds
289,Amberieu-En-Bugey,FR,45.9589,5.3432,44.53,87,3,2.53,clear sky
290,Mbuyapey,PY,-26.2,-56.75,67.42,94,53,1.99,broken clouds
291,Tongzi,CN,28.7829,105.0877,57.13,87,100,1.5,overcast clouds
292,Hammerfest,NO,70.6634,23.6821,45.05,100,75,3.44,broken clouds
293,Roebourne,AU,-20.7833,117.1333,83.37,27,2,16.84,clear sky
294,Berlevag,NO,70.8578,29.0864,37.4,89,100,6.4,overcast clouds
295,Uhlirske Janovice,CZ,49.8802,15.0648,34.79,74,6,3.56,clear sky
296,Henties Bay,NA,-22.116,14.2845,57.85,77,0,5.68,clear sky
297,Erzin,TR,36.9559,36.2,64.99,38,56,2.24,broken clouds
298,Cayenne,GF,4.9333,-52.3333,82.09,84,0,4,clear sky
299,Sept-Iles,CA,50.2001,-66.3821,49.05,92,90,0,overcast clouds
300,Grand-Santi,GF,4.25,-54.3833,74.57,93,49,3.15,scattered clouds
301,Kodiak,US,57.79,-152.4072,44.62,91,100,12.12,overcast clouds
302,Zapolyarnyy,RU,69.4154,30.8136,40.28,96,100,4.12,overcast clouds
303,Rawson,AR,-43.3002,-65.1023,55.9,72,3,10.02,clear sky
304,Belyy Yar,RU,53.6039,91.3903,48.09,49,0,11.18,clear sky
305,Beloha,MG,-25.1667,45.05,66.09,66,100,13.85,overcast clouds
306,Tuatapere,NZ,-46.1333,167.6833,47.82,92,100,2.53,overcast clouds
307,Faya,SA,18.3851,42.4509,61.32,32,31,9.55,scattered clouds
308,Hoa Binh,VN,20.8133,105.3383,73.29,96,100,4.29,light rain
309,Ondjiva,AO,-17.0667,15.7333,68.38,12,0,6.85,clear sky
310,Blythe,US,33.6103,-114.5964,75.65,17,1,3.44,clear sky
311,Shalya,RU,57.2471,58.7298,35.11,88,85,6.2,overcast clouds
312,Antalaha,MG,-14.9003,50.2788,71.26,69,11,5.77,few clouds
313,Klaksvik,FO,62.2266,-6.589,45.52,87,97,11.7,overcast clouds
314,Kirakira,SB,-10.4544,161.9205,80.98,83,100,7.34,overcast clouds
315,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,78.46,59,79,5.08,broken clouds
316,Nurota,UZ,40.5614,65.6886,48.29,34,0,1.7,clear sky
317,Kurilsk,RU,45.2333,147.8833,53.51,82,100,26.53,overcast clouds
318,Santona,ES,43.4439,-3.4576,56.35,84,81,3.06,broken clouds
319,Ibb,YE,13.9667,44.1833,66.33,50,34,2.84,scattered clouds
320,Locri,IT,38.2414,16.2623,65.16,60,0,12.86,clear sky
321,Talnakh,RU,69.4865,88.3972,23.29,96,98,7.05,light snow
322,Marbella,ES,36.5154,-4.8858,68.25,81,100,6.02,overcast clouds
323,Sosua,DO,19.7667,-70.5167,77.23,87,61,8.1,broken clouds
324,Ixtapa,MX,20.7,-105.2,79.23,93,89,3.24,overcast clouds
325,Rosarito,MX,32.3333,-117.0333,67.24,70,0,6.15,clear sky
326,Dunkirk,FR,51.05,2.3667,56.08,79,74,1.99,broken clouds
327,Ibiruba,BR,-28.6275,-53.0897,59.9,87,100,10.45,overcast clouds
328,Sorong,ID,-0.8833,131.25,87.49,65,100,8.34,overcast clouds
329,Talara,PE,-4.5772,-81.2719,65.43,88,36,13.82,scattered clouds
330,Port Hedland,AU,-20.3167,118.5667,84.25,28,5,12.66,clear sky
331,Vysokopillya,UA,47.4919,33.5306,39.58,59,0,8.75,clear sky
332,Darhan,MN,49.4867,105.9228,50.23,37,0,7.11,clear sky
333,Singanallur,IN,11,77.0167,84.76,74,40,11.5,scattered clouds
334,Ahipara,NZ,-35.1667,173.1667,59.52,71,100,10.25,moderate rain
335,Mishelevka,RU,52.8575,103.1719,49.8,48,28,1.36,scattered clouds
336,Canaries,ES,28,-15.5,65.77,67,40,1.99,scattered clouds
337,Te Anau,NZ,-45.4167,167.7167,36.45,100,100,1.36,overcast clouds
338,Pochutla,MX,15.7432,-96.4661,78.82,87,4,4.65,clear sky
339,Wagga Wagga,AU,-35.1167,147.3667,63.01,45,75,5.75,broken clouds
340,Broome,US,42.2506,-75.833,62.83,77,90,1.99,overcast clouds
341,Qasigiannguit,GL,68.8193,-51.1922,34.05,89,59,4.76,broken clouds
342,Vestmannaeyjar,IS,63.4427,-20.2734,39.99,75,3,10.6,clear sky
343,Verkhnevilyuysk,RU,63.4453,120.3167,34.56,58,100,13.47,overcast clouds
344,Ilhabela,BR,-23.7781,-45.3581,68,93,100,13.13,overcast clouds
345,Banda Aceh,ID,5.5577,95.3222,87.01,60,94,15.3,overcast clouds
346,Port Hardy,CA,50.6996,-127.4199,46.4,100,75,0,light intensity shower rain
347,Namatanai,PG,-3.6667,152.4333,83.77,73,41,5.37,light rain
348,Macae,BR,-22.3708,-41.7869,65.95,100,90,9.22,moderate rain
349,Ingham,US,42.6,-84.3833,71.22,87,1,6.91,clear sky
